tns_name,internam_names,radeg,decdeg,redshift,discovery_date,discovery_mag,type
SN2022lez,"ZTF22aaliisa,PS22esk",242.661149705,19.0563008062,0.036,2022-05-28 06:09:02.592,19.7515,SN II
SN2022lic,"Gaia22bzq,ZTF22aanyggd,ATLAS22qst,PS22gou",355.761667,6.665161,0.04,2022-05-06 11:16:48.000,18.69,SN II
SN2022lmf,"PS22etn,ATLAS22qdf,ZTF22aamgpzz",303.771879973,-16.3292554113,0.0265,2022-05-31 12:38:39.840,20.07,SN II
SN2022lsh,"ATLAS22ppi,Gaia22cvf,PS22gud,ZTF22ababhmy",29.626417,-26.284581,0.01511,2022-06-01 03:38:21.696,18.625,SN II
SN2022lzn,"ZTF22aamssbr,ATLAS22qee,PS22fgk",190.74694905,48.3704120715,0.03,2022-06-03 05:38:24.000,20.22,SN II
SN2022mci,"ATLAS22qec,Gaia22crv,ZTF22aanrsaa",157.547917,43.362761,0.013856,2022-06-05 06:06:26.208,18.477,SN II
SN2022mhm,"ZTF22aanmbrl,Gaia22ctd,ATLAS22svz",36.751417,42.8099,0.027,2022-06-07 11:22:33.600,18.11,SN II
SN2022mji,"ATLAS22qnq,Gaia22cpw,ZTF22aanrqje,PS22klw",145.725292,31.850989,0.004,2022-06-09 06:21:10.080,17.361,SN II
SN2022mm,"ATLAS22bjw,PS22aam,Gaia22ajy,ZTF22aaanfhy",179.604667,-14.519861,0.013,2022-01-11 15:31:40.800,17.35,SN II
SN2022mmr,"ZTF22aanzbru,ATLAS17kym,PS22gpg",352.972343199,-5.01217962731,0.0173,2022-06-10 10:13:44.000,20.2819,SN II
SN2022mxv,"ATLAS22qxp,ZTF22aaolwsd,,Gaia22dfc,PS22hho",357.771375,20.152481,0.014046,2022-06-18 13:05:36.384,18.249,SN II
SN2022myi,"ZTF22aaokebo,ATLAS22rft,PS22fzm,Gaia22dax",277.329708,29.478989,0.05,2022-06-13 07:26:20.000,19.9074,SN II
SN2022nah,"ATLAS22qyk,Gaia22ctv,ZTF22aaytppn,PS22jfb",11.737125,-21.847111,0.021435,2022-06-19 07:37:19.776,17.81,SN II
SN2022nce,"ATLAS22rbm,PS22hhq,ZTF22abajtwj",37.3143258476,-22.1379079107,0.036822,2022-06-19 09:46:16.896,18.671,SN II
SN2022ngt,"ZTF22aaoxhuh,PS22gcg",241.935953593,67.9544186082,0.02,2022-06-22 07:23:05.997,19.759,SN II
SN2022niw,"ZTF22aapargp,ATLAS22rlk,PS22gjp",239.320005206,19.4744879216,0.033,2022-06-23 06:42:00.003,19.69,SN II
SN2022nnx,"ZTF22aapjrvz,ATLAS22sdt,PS22hez",355.932580817,5.82739787869,0.035,2022-06-25 10:25:19.001,18.8641,SN II
SN2022nzx,"Gaia22csk,ATLAS22spc,ZTF22aaptzap,PS22hwy",22.9445,33.616111,0.0166549999,2022-06-29 08:39:50.400,18.55,SN II
SN2022oey,"ZTF22aarynsk,Gaia22cxy,ATLAS22zwi,",57.121,70.136869,0.004,2022-07-04 11:04:39.000,17.2876,SN II
SN2022oic,"ATLAS22srs,Gaia22cvk,ZTF22aaygscd,PS22hak",45.977333,10.521719,0.025,2022-07-04 14:13:48.288,18.341,SN II
SN2022okz,"ATLAS22sxg,ZTF22aasoxwu,PS22gyz",18.4830124522,30.1555298408,0.034,2022-07-06 13:31:48.000,19.253,SN II
SN2022omr,"ZTF22aasojye,ATLAS22vil,Gaia22dbw",355.42125,50.049711,0.023,2022-07-08 09:16:05.002,19.3793,SN II
SN2022ooh,"ATLAS22tdf,ZTF22aaxbape,Gaia22dhe,PS22haa",28.31125,-13.741611,0.035,2022-07-08 14:17:19.104,18.22,SN II
SN2022oor,"ZTF22aaslyzf,ATLAS22vaj,PS22hcq",226.124192214,2.33856133877,0.031968,2022-07-09 07:56:21.984,19.1609,SN II
SN2022ovb,"ZTF22aativsd,ATLAS22uxb,PS22gco,Gaia22ddj",335.623125,36.004961,0.0183,2022-07-14 09:49:22.656,18.4606,SN II
SN2022ow,"ATLAS22bnk,Gaia22adq,ZTF22aaaepck,PS22dhb",241.557292,17.955619,0.038587,2022-01-12 14:52:48.000,18.597,SN II
SN2022oyp,"ZTF22aattfmb,PS22gha,Gaia22dhy,ATLAS22zwj",271.304875,46.880419,0.02349,2022-07-17 05:24:48.004,19.6437,SN II
SN2022pfx,"ZTF22aaudjgc,ATLAS22vgo,PS22hcr",327.711996789,-0.846931588756,0.028,2022-07-22 07:39:38.016,17.869,SN II
SN2022phj,"ZTF22aavbcky,ATLAS22vub,PS22gob",359.953236957,-15.71510989,0.039,2022-07-22 11:00:49.997,18.8669,SN II
SN2022pjs,"ATLAS22vuy,ZTF22aavcvgd,PS22gyx",270.967778845,61.8939931724,0.029,2022-07-23 09:11:57.984,18.715,SN II
SN2022pox,"KATS22O002,ZTF22aavpkwo,ATLAS22wxq,PS22grp",270.191071159,31.0723103477,0.03,2022-07-23 18:05:02.000,17.903,SN II
SN2022pru,"ASASSN-22jo,ATLAS22zsp,Gaia22dpj,ZTF22aaywnyg,PS22lhq",179.781875,52.699581,0.003606,2022-07-27 03:07:12.000,16.3,SN II
SN2022prv,"PS22gjh,ZTF22aavobvq,ATLAS22wpl,Gaia22dte",235.032292,20.675469,0.015101,2022-07-27 07:40:09.984,18.73,SN II
SN2022pux,"ZTF22aaxgujq,ATLAS22xjf,PS22hbo,,Gaia22eaa",320.282708,23.082919,0.015704,2022-07-28 09:14:53.998,17.935,SN II
SN2022pv,"ATLAS22boa,PS22aop,ZTF22aaaeljw",216.28655135,-13.15743935,0.011294,2022-01-13 15:20:09.600,19.165,SN II
SN2022pzh,ZTF22aawptbl,4.0796795,45.13759,0.045,2022-07-26 10:48:00.000,20.48,SN II
SN2022qhc,"ZTF22aaxzzoc,ATLAS22xtw,PS22gsk",259.146415033,7.32901895235,0.022476,2022-07-31 05:28:20.997,19.152,SN II
SN2022qi,"PS22ii,ATLAS22dfo,ZTF22aaahorb",97.9495905719,-17.6216218705,0.021,2022-01-13 09:21:36.000,19.03,SN II
SN2022qkt,"ZTF22aakjgru,ATLAS22band",97.30165271999999,37.09335466,0.025,2022-08-02 11:45:27.999,18.2857,SN II
SN2022quh,"ZTF22aazjqtu,ATLAS22zra,PS22jlq",46.1728133184,5.98934381178,0.03,2022-08-04 10:13:26.400,19.09,SN II
SN2022qxp,ZTF22aayubvt,46.7768966,-5.9581926,0.019,2022-08-07 11:28:07.000,19.1635,SN II
SN2022raj,"ZTF22aazmrpx,ATLAS22zqv,PS22gyj,Gaia22dnr",30.823042,29.234689,0.0155,2022-08-05 11:16:35.040,20.1987,SN II
SN2022rd,"ATLAS22bpn,ZTF22aaaeobr,PS22bku",220.416977472,36.7371897223,0.030334,2022-01-11 14:13:55.200,18.875,SN II
SN2022rfz,"ZTF22abadzpo,ATLAS22zvk,PS22hdu",260.584972941,2.016119366,0.029627,2022-08-13 04:25:13.000,19.475,SN II
SN2022rgd,"ZTF22abaegxq,ATLAS22bagi,Gaia22dmu,PS22hwx",28.07875,31.543439,0.033306,2022-08-15 10:20:40.128,19.1551,SN II
SN2022rqg,"ZTF22abbecow,PS22igv",254.060839397,55.0195877822,0.02867,2022-08-21 04:24:41.003,20.0518,SN II
SN2022ruw,"ZTF22abbiwrr,ATLAS22bauw,PS22khp",35.8030644626,2.99749769675,0.040651,2022-08-19 09:37:26.400,19.16,SN II
SN2022ryp,"ZTF22abckjon,ATLAS22bbtf,PS22hlp",25.7968496653,-4.85248365703,0.0389,2022-08-23 10:33:36.000,19.39,SN II
SN2022ryv,"ZTF22abcfics,ATLAS22bbmz,Gaia22dvy",274.516,14.483811,0.03,2022-08-23 05:31:12.000,18.23,SN II
SN2022sgn,ZTF22abbnica,30.5564701,68.3528569,0.0119,2022-08-15 09:44:53.088,20.4109,SN II
SN2022sio,"ZTF22abdjqlm,ATLAS22bcoj",261.8476473,56.558826800000006,0.026,2022-08-27 06:24:26.001,19.2687,SN II
SN2022sje,"ZTF22abdondo,ATLAS22bcoe,,,PS22ihm,Gaia22dyt",275.522167,66.624489,0.0155,2022-08-28 03:51:50.400,18.15,SN II
SN2022svt,"ATLAS22bcuo,Gaia22dvl,ZTF22abfpgcn,PS22kgv",81.693417,-19.204931,0.027599,2022-09-02 01:55:04.224,18.543,SN II
SN2022sxm,"ZTF22abewvtv,ATLAS22bdzy,Gaia22dwt",110.836083,3.208081,0.027,2022-09-02 11:50:35.998,18.3545,SN II
SN2022tis,"ATLAS22bdre,ZTF22abepfmn,PS22irl",317.649439218,-9.50402161827,0.05,2022-09-02 08:49:45.696,19.186,SN II
