,_q,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,Flag1,RAJ2000,DEJ2000,Dist,z,Bmag,BMAG,Jmag,Hmag,Kmag,Flag2,Flag3
41,507,,---,---,09410312-2528003,---,G,145.263,-25.466751,391.242135407,0.085662,17.191,-20.7712,14.658,13.938,13.45,1,0
42,521,,---,779400,09410968-2524012,---,G,145.290344,-25.400354,408.034232822,0.089121,16.573,-21.4805,14.248,13.605,13.071,1,0
43,536,,---,---,08442069-2042366,---,G,131.086212,-20.710169,128.429343637,0.029565,16.732,-18.8113,14.615,13.988,13.701,1,1
44,540,,---,---,---,090642.28+501444.9,Q,136.676193354,50.2458253166,19404.2809044,2.34435367584,,,,,,1,0
45,564,,---,---,10323185-2657552,---,G,158.132736,-26.965347,291.127064037,0.064707,17.319,-20.0014,14.689,14.165,13.759,1,0
46,568,,---,818294,08210382-2209542,---,G,125.265945,-22.165062,334.719285772,0.073903,16.639,-20.9844,14.047,13.387,12.873,1,0
47,577,,---,81929,---,---,G,130.518,-26.5515,,,,,,,,0,0
48,581,,---,---,08371978-2709013,---,G,129.332458,-27.15037,923.891653423,0.188967,18.463,-21.3651,15.242,14.426,13.929,1,0
49,609,,---,SDSSJ090434.13+102826.8,---,---,G,136.142,10.47409,622.3,0.131996825998,18.8,-20.17,,,,2,0
50,612,,---,SDSSJ091106.72+244010.2,---,---,G,137.778,24.66952,1896.71,0.354063957032,,,,,,2,0
51,612,,---,SDSSJ091105.55+243930.6,---,---,G,137.773,24.65847,1870.68,0.349926534963,,,,,,2,0
52,614,,---,---,---,085957.53+281558.2,Q,134.989747868,28.2661824196,4639.91589313,0.741696536541,,,,,,1,0
53,615,,---,---,---,091855.29+244301.0,Q,139.730408094,24.7169588783,21423.6023531,2.54181098938,,,,,,1,0
54,617,,---,SDSSJ090417.41+240353.3,---,---,G,136.072,24.06474,1967.89,0.365314082657,,,,,,2,0
55,621,,---,828801,09463699-2123568,---,G,146.65416,-21.399124,295.279926702,0.065588,15.938,-21.4132,13.137,12.368,11.906,1,0
56,626,,---,---,09510894-2554107,---,G,147.787262,-25.902992,298.63506474,0.066299,17.06,-20.3157,14.48,13.817,13.534,1,0
57,626,,---,---,09511606-2554060,---,G,147.81694,-25.90168,,,,,15.654,,13.922,0,0
58,632,,---,775065,09503698-2547138,---,G,147.654114,-25.787178,280.050472652,0.062645,16.273,-20.9632,13.468,12.773,12.456,1,1
59,668,,---,ESO563-020,---,---,G,131.559,-19.96013,,,16.46,,,,,0,0
60,688,,---,---,08342984-1917414,---,G,128.624359,-19.294857,552.664968456,0.118306,17.963,-20.7493,15.03,14.005,13.577,1,0
61,689,,---,901863,08210122-1608491,---,G,125.255104,-16.146986,215.106206094,0.0485329142665,16.71,-19.9533,13.907,13.291,12.816,2,1
62,692,,---,GAMAJ091712.78+012240.3,---,---,G,139.303,1.37788,1270.57,0.250588925294,,,,,,2,0
63,693,,---,GAMAJ090204.10+023105.3,---,---,G,135.517,2.51814,,,,,,,,0,0
64,693,,---,GAMAJ090206.05+023139.7,---,---,G,135.525,2.52771,,,,,,,,0,0
65,694,,---,SDSSJ091944.54+074155.1,---,---,G,139.936,7.69863,588.844,0.125446712723,18.64,-20.21,,,,2,0
66,695,,---,GAMAJ090613.15+014511.0,---,---,G,136.555,1.75307,946.237,0.193053306527,,,,,,2,0
67,695,,---,GAMAJ090610.61+014310.2,---,---,G,136.544,1.71952,1116.86,0.223716051858,,,,,,2,0
68,695,,---,GAMAJ090615.48+014342.1,---,---,G,136.565,1.72837,937.562,0.191468855734,,,,,,2,0
69,695,,---,GAMAJ090615.87+014341.3,---,---,G,136.566,1.72816,,,,,,,,0,0
