JD,Band,Flux,Fluxerr,Mag,Magerr
2452885.49405,I,0.000530,0.000009,16.741262,0.018437
2452894.60186,I,0.000624,0.000009,16.563990,0.015660
2452898.58674,I,0.000506,0.000008,16.791575,0.017166
2452904.55951,I,0.000623,0.000009,16.565731,0.015685
2452909.55404,I,0.000601,0.000008,16.604765,0.014452
2452917.59397,I,0.000626,0.000009,16.560516,0.015610
2452930.5366,I,0.000633,0.000008,16.548442,0.013722
2453051.87172,I,0.000686,0.000012,16.461141,0.018992
2453058.86504,I,0.000662,0.000007,16.499807,0.011481
2453063.88864,I,0.000694,0.000006,16.448553,0.009387
2453067.86351,I,0.000644,0.000007,16.529737,0.011801
2453070.82344,I,0.000626,0.000010,16.560516,0.017344
2453072.90228,I,0.000652,0.000007,16.516333,0.011657
2453075.79916,I,0.000643,0.000008,16.531424,0.013508
2453079.85563,I,0.000723,0.000008,16.404106,0.012014
2453082.81848,I,0.000707,0.000007,16.428403,0.010750
2453084.87409,I,0.000737,0.000007,16.383283,0.010312
2453086.80811,I,0.000699,0.000006,16.440759,0.009320
2453088.76512,I,0.000650,0.000006,16.519668,0.010022
2453089.87507,I,0.000777,0.000007,16.325899,0.009781
2453091.79226,I,0.000647,0.000007,16.524691,0.011747
2453091.80968,I,0.000664,0.000007,16.496531,0.011446
2453091.83158,I,0.000676,0.000007,16.477085,0.011243
2453091.85341,I,0.000685,0.000007,16.462725,0.011095
2453091.87147,I,0.000693,0.000006,16.450118,0.009400
2453091.89816,I,0.000711,0.000007,16.422278,0.010689
2453091.91365,I,0.000705,0.000007,16.431479,0.010780
2453092.75601,I,0.000763,0.000009,16.345640,0.012807
2453092.7719,I,0.000766,0.000008,16.341380,0.011339
2453092.79549,I,0.000763,0.000010,16.345640,0.014230
2453092.83286,I,0.000745,0.000010,16.371561,0.014574
2453092.90821,I,0.000720,0.000010,16.408620,0.015080
2453093.88409,I,0.000657,0.000008,16.508038,0.013221
2453093.91291,I,0.000650,0.000010,16.519668,0.016704
2453096.74554,I,0.000627,0.000008,16.558783,0.013853
2453096.80614,I,0.000674,0.000007,16.480302,0.011276
2453096.82974,I,0.000689,0.000008,16.456403,0.012607
2453096.87708,I,0.000711,0.000008,16.422278,0.012216
2453096.90942,I,0.000734,0.000008,16.387711,0.011834
2453097.74452,I,0.000742,0.000008,16.375942,0.011706
2453097.79936,I,0.000740,0.000010,16.378872,0.014672
2453097.81151,I,0.000722,0.000007,16.405609,0.010527
2453097.86475,I,0.000719,0.000007,16.410129,0.010570
2453097.91196,I,0.000709,0.000007,16.425336,0.010720
2453098.73465,I,0.000675,0.000007,16.478692,0.011259
2453098.79603,I,0.000644,0.000007,16.529737,0.011801
2453098.85588,I,0.000622,0.000006,16.567476,0.010473
2453098.87359,I,0.000630,0.000006,16.553600,0.010340
2453098.9118,I,0.000637,0.000006,16.541603,0.010227
2453099.71461,I,0.000694,0.000009,16.448553,0.014080
2453099.77459,I,0.000707,0.000009,16.428403,0.013821
2453099.84118,I,0.000744,0.000009,16.373019,0.013134
2453099.87613,I,0.000732,0.000010,16.390674,0.014832
2453099.90942,I,0.000766,0.000009,16.341380,0.012757
2453100.73775,I,0.000726,0.000008,16.399610,0.011964
2453100.77321,I,0.000713,0.000007,16.419228,0.010659
2453100.82754,I,0.000682,0.000006,16.467491,0.009552
2453100.91212,I,0.000651,0.000007,16.517999,0.011675
2453101.73129,I,0.000610,0.000010,16.588627,0.017799
2453101.81774,I,0.000655,0.000007,16.511348,0.011603
2453101.90752,I,0.000698,0.000007,16.442313,0.010888
2453102.70382,I,0.000747,0.000008,16.368650,0.011628
2453102.7909,I,0.000773,0.000007,16.331503,0.009832
2453102.84966,I,0.000742,0.000008,16.375942,0.011706
2453102.90976,I,0.000721,0.000007,16.407113,0.010541
2453103.75327,I,0.000671,0.000009,16.485145,0.014563
2453103.87918,I,0.000644,0.000007,16.529737,0.011801
2453104.72642,I,0.000674,0.000014,16.480302,0.022552
2453104.89758,I,0.000745,0.000018,16.371561,0.026233
2453106.79861,I,0.000662,0.000009,16.499807,0.014761
2453107.75646,I,0.000748,0.000008,16.367198,0.011612
2453108.7362,I,0.000684,0.000006,16.464311,0.009524
2453109.76278,I,0.000707,0.000007,16.428403,0.010750
2453110.80225,I,0.000738,0.000007,16.381811,0.010298
2453111.83628,I,0.000647,0.000007,16.524691,0.011747
2453112.80956,I,0.000765,0.000006,16.342798,0.008516
2453113.84342,I,0.000672,0.000007,16.483528,0.011310
2453114.75355,I,0.000672,0.000006,16.483528,0.009694
2453115.83608,I,0.000718,0.000007,16.411640,0.010585
2453118.89759,I,0.000630,0.000007,16.553600,0.012064
2453122.88106,I,0.000767,0.000010,16.339963,0.014156
2453125.83765,I,0.000779,0.000009,16.323108,0.012544
2453126.86696,I,0.000661,0.000007,16.501448,0.011498
2453127.77252,I,0.000753,0.000008,16.359964,0.011535
2453128.79089,I,0.000751,0.000007,16.362852,0.010120
2453129.76558,I,0.000674,0.000007,16.480302,0.011276
2453131.65319,I,0.000775,0.000011,16.328697,0.015410
2453134.73337,I,0.000673,0.000012,16.481914,0.019359
2453134.85072,I,0.000691,0.000010,16.453256,0.015713
2453135.83375,I,0.000821,0.000007,16.266094,0.009257
2453137.90936,I,0.000774,0.000007,16.330099,0.009819
2453138.7936,I,0.000782,0.000007,16.318935,0.009719
2453139.83779,I,0.000688,0.000006,16.457980,0.009469
2453140.8452,I,0.000802,0.000007,16.291516,0.009477
2453142.73738,I,0.000712,0.000007,16.420752,0.010674
2453144.758,I,0.000670,0.000007,16.486765,0.011344
2453146.73602,I,0.000745,0.000009,16.371561,0.013116
2453151.72026,I,0.000774,0.000009,16.330099,0.012625
2453152.72404,I,0.000675,0.000007,16.478692,0.011259
2453152.93738,I,0.000796,0.000010,16.299669,0.013640
2453153.72799,I,0.000798,0.000009,16.296944,0.012245
2453154.78894,I,0.000677,0.000009,16.475480,0.014434
2453156.7715,I,0.000750,0.000009,16.364298,0.013029
2453158.84207,I,0.000791,0.000009,16.306510,0.012354
2453162.78299,I,0.000698,0.000008,16.442313,0.012444
2453163.74431,I,0.000799,0.000007,16.295585,0.009512
2453164.70259,I,0.000753,0.000007,16.359964,0.010093
2453165.7739,I,0.000766,0.000006,16.341380,0.008504
2453166.86179,I,0.000740,0.000010,16.378872,0.014672
2453168.56152,I,0.000710,0.000008,16.423806,0.012234
2453168.89976,I,0.000808,0.000008,16.283423,0.010750
2453169.69637,I,0.000766,0.000008,16.341380,0.011339
2453170.77406,I,0.000744,0.000007,16.373019,0.010215
2453171.86796,I,0.000765,0.000006,16.342798,0.008516
2453172.71717,I,0.000702,0.000006,16.436109,0.009280
2453174.68012,I,0.000802,0.000006,16.291516,0.008123
2453175.68943,I,0.000674,0.000006,16.480302,0.009665
2453178.7506,I,0.000809,0.000008,16.282080,0.010737
2453179.76358,I,0.000728,0.000007,16.396623,0.010440
2453180.67631,I,0.000670,0.000006,16.486765,0.009723
2453182.74347,I,0.000694,0.000007,16.448553,0.010951
2453183.702,I,0.000754,0.000008,16.358523,0.011520
2453184.66949,I,0.000839,0.000006,16.242547,0.007765
2453185.82551,I,0.000750,0.000008,16.364298,0.011581
2453193.50321,I,0.000718,0.000010,16.411640,0.015122
2453194.61267,I,0.000817,0.000008,16.271396,0.010631
2453195.66915,I,0.000697,0.000007,16.443870,0.010904
2453196.71289,I,0.000801,0.000008,16.292870,0.010844
2453197.49596,I,0.000849,0.000008,16.229682,0.010231
2453197.61284,I,0.000826,0.000007,16.259501,0.009201
2453197.77511,I,0.000739,0.000007,16.380340,0.010284
2453199.75761,I,0.000816,0.000009,16.272726,0.011975
2453201.50034,I,0.000685,0.000007,16.462725,0.011095
2453202.50844,I,0.000811,0.000007,16.279399,0.009371
2453203.62942,I,0.000695,0.000006,16.446990,0.009373
2453204.5903,I,0.000920,0.000007,16.142482,0.008261
